date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:24	40279/40279	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/sea_tour_img_4.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/sea_tour_img_4.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:24	62662/62662	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/tour_slider_bg.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/tour_slider_bg.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:25	26216/26216	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_1.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_1.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:25	22266/22266	---M--	200	added ('OK')	text/html	etag:%2256276da9-56fa%22	http://demo.nrgthemes.com/projects/travel/footer_style_4.html	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/footer_style_4.html	(from http://demo.nrgthemes.com/projects/travel/menu_style_4.html)
21:47:25	23941/23941	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_3.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_3.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:25	36267/36267	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_4.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_4.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:25	20328/20328	---M--	200	added ('OK')	text/html	etag:%2256276dae-4f68%22	http://demo.nrgthemes.com/projects/travel/footer_style_5.html	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/footer_style_5.html	(from http://demo.nrgthemes.com/projects/travel/menu_style_4.html)
21:47:26	24497/24497	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_5.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_5.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:26	33375/33375	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_6.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_6.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:26	35607/35607	---M--	200	added ('OK')	text/html	etag:%2256276e09-8b17%22	http://demo.nrgthemes.com/projects/travel/index_2.html	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/index_2.html	(from http://demo.nrgthemes.com/projects/travel/menu_style_4.html)
